Phyllum;Class;Order;Family;Genus;Taxon;Mobility;Fragility;Position;Size;Feeding mode;VME;sp_vulne_ospar;Longevity;Larval development
Annelida;Polychaeta;Sabellida;Sabellariidae;Lygdamis;Lygdamis muratus;2;2;0;0;3;2;2;4;
Mollusca;Bivalvia;;Lyonsiidae;Lyonsia;Lyonsia norwegica;2;3;1;0;3;2;2;3;1
Annelida;Polychaeta;Eunicida;Eunicidae;Lysidice;Lysidice ninetta;2;0;0;0;1;2;2;;
Cnidaria;Hydrozoa;Leptothecata;Aglaopheniidae;Lytocarpia;Lytocarpia myriophyllum;3;3;3;3;3;2;2;2;1
Arthropoda;Malacostraca;Decapoda;Macropipidae;Macropipus;Macropipus tuberculatus;0;1;2;2;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia;Macropodia;2;3;2;0;1;2;2;3;
Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia;Macropodia deflexa;2;3;2;0;1;2;2;2;
Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia;Macropodia linaresi;2;3;2;0;1;2;2;2;1
Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia;Macropodia parva;1;2;2;0;1;2;2;2;1
Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia;Macropodia rostrata;2;3;2;0;1;2;2;;1
Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia;Macropodia tenuirostris;2;3;2;0;1;2;2;2;1
Mollusca;Cephalopoda;Octopoda;Octopodidae;Macrotritopus;Macrotritopus defilippi;0;2;2;3;1;2;2;2;1
Mollusca;Bivalvia;Veneroida;Mactridae;Mactra;Mactra;2;1;0;2;3;2;2;;
Mollusca;Bivalvia;Veneroida;Mactridae;Mactra;Mactra stultorum;2;1;0;2;3;2;2;4;
Cnidaria;Anthozoa;Scleractinia;Oculinidae;Madrepora;Madrepora oculata;3;3;3;3;3;4;2;4;1
Mollusca;Bivalvia;Ostreoida;Ostreidae;Magallana;Magallana gigas;3;0;2;2;3;2;2;;
Annelida;Polychaeta;;Magelonidae;Magelona;Magelona filiformis;1;0;1;0;3;2;2;;
Arthropoda;Malacostraca;Decapoda;Majidae;Maja;Maja brachydactyla;1;2;2;3;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Majidae;Maja;Maja crispata;1;2;2;3;1;2;2;3;1
Arthropoda;Malacostraca;Decapoda;Majidae;Maja;Maja squinado;1;2;2;3;1;2;2;3;1
Annelida;Polychaeta;;Maldanidae;;Maldanidae;2;3;0;0;1;2;2;3;1
Annelida;Polychaeta;Phyllodocida;Polynoidae;Malmgrenia;Malmgrenia;2;0;2;0;1;2;2;2;
Annelida;Polychaeta;Phyllodocida;Polynoidae;Malmgrenia;Malmgrenia ljungmani;2;0;2;0;1;2;2;2;
Annelida;Polychaeta;Phyllodocida;Polynoidae;Malmgrenia;Malmgrenia marphysae;2;0;2;0;1;2;2;;
Mollusca;Gastropoda;Neogastropoda;Mangeliidae;Mangelia;Mangelia costata;1;0;2;0;1;2;2;;
Mollusca;Gastropoda;Neogastropoda;Mangeliidae;Mangelia;Mangelia costulata;1;0;2;0;1;2;2;;
Mollusca;Gastropoda;Nudibranchia;Tritoniidae;Marionia;Marionia blainvillea;1;2;2;2;1;2;2;;
Annelida;Polychaeta;Eunicida;Eunicidae;Marphysa;Marphysa;1;0;1;3;1;2;2;;
Annelida;Polychaeta;Eunicida;Eunicidae;Marphysa;Marphysa bellii;1;0;1;3;1;2;2;;
Annelida;Polychaeta;Eunicida;Eunicidae;Marphysa;Marphysa sanguinea;1;0;1;3;1;2;2;;
Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Marthasterias;Marthasterias glacialis;1;2;2;3;1;2;2;;
Annelida;Polychaeta;;Capitellidae;Mediomastus;Mediomastus fragilis;1;0;1;2;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Dorippidae;Medorippe;Medorippe lanata;1;1;2;2;1;2;2;;
Arthropoda;Malacostraca;Amphipoda;Photidae;Megamphopus;Megamphopus cornutus;1;2;2;0;1;2;2;;
Mollusca;Gastropoda;Littorinimorpha;Eulimidae;Melanella;Melanella alba;1;0;1;0;1;2;2;;
Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora membranacea;3;3;2;0;3;2;2;;
Cnidaria;Anthozoa;Actiniaria;Metridiidae;Metridium;Metridium dianthus;3;2;3;3;1;2;2;;
Cnidaria;Anthozoa;Actiniaria;Metridiidae;Metridium;Metridium senile;3;2;3;3;1;2;2;;1
Chordata;Ascidiacea;Stolidobranchia;Pyuridae;Microcosmus;Microcosmus;3;2;2;3;3;2;2;;1
Chordata;Ascidiacea;Stolidobranchia;Pyuridae;Microcosmus;Microcosmus sabatieri;3;2;2;3;3;2;2;3;
Chordata;Ascidiacea;Stolidobranchia;Pyuridae;Microcosmus;Microcosmus vulgaris;3;2;2;3;3;2;2;3;
Mollusca;Bivalvia;Pectinoida;Pectinidae;Mimachlamys;Mimachlamys;3;1;2;2;3;2;2;3;
Mollusca;Bivalvia;Pectinoida;Pectinidae;Mimachlamys;Mimachlamys varia;3;1;2;2;3;2;2;3;
Mollusca;Bivalvia;Mytiloida;Mytilidae;Modiolula;Modiolula phaseolina;3;0;2;0;3;2;2;3;
Mollusca;Bivalvia;Mytiloida;Mytilidae;Modiolus;Modiolus barbatus;3;3;2;2;3;2;2;;
Mollusca;Bivalvia;Mytiloida;Mytilidae;Modiolus;Modiolus cf. barbatus;3;0;2;3;3;2;2;4;1
Mollusca;Bivalvia;Mytiloida;Mytilidae;Modiolus;Modiolus modiolus;3;1;2;3;3;2;4;4;1
Mollusca;Bivalvia;Veneroida;Tellinidae;Moerella;Moerella donacina;2;3;0;0;1;2;2;4;1
Chordata;Ascidiacea;Stolidobranchia;Molgulidae;Molgula;Molgula;3;2;2;0;3;2;2;3;
Chordata;Ascidiacea;Stolidobranchia;Molgulidae;Molgula;Molgula appendiculata;3;2;2;0;3;2;2;1;
Chordata;Ascidiacea;Stolidobranchia;Molgulidae;Molgula;Molgula manhattensis;3;2;2;0;3;2;2;1;
Chordata;Ascidiacea;Stolidobranchia;Molgulidae;Molgula;Molgula occulta;3;2;2;0;3;2;2;1;
Chordata;Ascidiacea;Stolidobranchia;Molgulidae;Molgula;Molgula socialis;3;2;2;0;3;2;2;1;
