"code_trait";"Annee";"depth";"Trait";"Lat";"Lon";"risk"
"344";"MEDITS_2014_G215_34";2014;95.5;"G215";42.88141667;3.806333333;1.61518180370331
"347";"MEDITS_2014_G405_68";2014;447;"G405";42.66991667;4.139166667;0
"349";"MEDITS_2013_G112_28";2013;38;"G112";43.30741667;4.540666667;9.5607738494873
"351";"MEDITS_2018_G107_71";2018;31.25806452;"G107";43.28775;3.622;26.2027530670166
"352";"MEDITS_2016_G105_46";2016;36;"G105";43.12565104;3.338749695;7.17482900619507
"354";"MEDITS_2016_C401_4";2016;367;"C401";41.54440104;9.551500448;0.0526677556335926
"356";"MEDITS_2017_G502_79";2017;646.5;"G502";42.57739665;3.843150075;0
"357";"MEDITS_2017_G306_44";2017;110;"G306";43.03610026;4.532450104;5.26149606704712
"358";"MEDITS_2015_G218_66";2015;54.5;"G218";42.98516667;3.889416667;6.80727005004883
"360";"MEDITS_2014_G404_36";2014;396.5;"G404";42.7795;3.906166667;1.34395170211792
"361";"MEDITS_2015_G209_60";2015;101.5;"G209";42.70016667;3.511333333;4.09089231491089
"363";"MEDITS_2014_G503_37";2014;667.5;"G503";42.68566667;3.966916667;0
"364";"MEDITS_2015_G401_43";2015;394.5;"G401";42.47233333;3.594083333;0.0608454905450344
"365";"MEDITS_2014_G401_41";2014;361;"G401";42.47333333;3.582166667;0
"367";"MEDITS_2013_G111_29";2013;32.5;"G111";43.34966667;4.327916667;11.8551931381226
"368";"MEDITS_2014_G214_33";2014;95;"G214";42.90025;3.673666667;3.34576892852783
"369";"MEDITS_2014_G402_39";2014;337.5;"G402";42.58791667;3.7055;0
"370";"MEDITS_2017_G505_47";2017;610;"G505";42.80024821;4.709700012;0.000572371936868876
"371";"MEDITS_2018_G110_68";2018;25.61290323;"G110";43.4071;4.25235;13.8869371414185
"372";"MEDITS_2016_G231_30";2016;96;"G231";43.17684733;4.779749807;3.51359462738037
"373";"MEDITS_2014_G102_63";2014;40.5;"G102";42.61925;3.113916667;29.1455478668213
"378";"MEDITS_2018_G224_58";2018;87.40322581;"G224";43.21775;4.16085;5.24850654602051
"388";"MEDITS_2016_C408_1";2016;333;"C408";42.95320231;9.61499939;0
"390";"MEDITS_2013_C206_2";2013;83;"C206";42.45625;9.621416667;0
"392";"MEDITS_2018_G215_82";2018;94.74193548;"G215";42.8775;3.8077;1.61518180370331
"393";"MEDITS_2013_G205_55";2013;78;"G205";42.91025;3.305;4.43464088439941
"395";"MEDITS_2014_G110_90";2014;26.5;"G110";43.41375;4.24375;20.7722263336182
"397";"MEDITS_2017_G223_32";2017;89;"G223";43.21234945;4.107049815;4.34172916412354
"400";"MEDITS_2018_G106_72";2018;35.53968254;"G106";43.21995;3.54785;11.4665422439575
"405";"MEDITS_2017_C203_11";2017;65.5;"C203";41.97089844;9.542449443;1.34046256542206
"406";"MEDITS_2014_G101_67";2014;31.5;"G101";42.956;3.088416667;0.320259749889374
"407";"MEDITS_2018_C205_22";2018;75.13636364;"C205";42.3871;9.6035;0.0218035001307726
